url,title,publisher,time
https://baomoi.com/bao-hiem-that-nghiep-ho-tro-41-046-ty-dong-cho-doanh-nghiep-lao-dong/c/43873434.epi,"Bảo hiểm thất nghiệp hỗ trợ 41.046 tỷ đồng cho doanh nghiệp, lao động",Báo VietnamPlus,2022-09-30T16:37:00+07:00
https://baomoi.com/arsenal-dau-tottenham-dau-ban-linh-dua-toc-do/c/43873204.epi,"Arsenal đấu Tottenham: Đấu bản lĩnh, đua tốc độ",Báo VietnamNet,2022-09-30T16:23:00+07:00
https://baomoi.com/cuu-nguoi-phu-nu-dinh-nhay-cau-chuong-duong-vi-chuyen-tinh-cam/c/43873540.epi,Cứu người phụ nữ định nhảy cầu Chương Dương vì chuyện tình cảm,Báo Tiền Phong,2022-09-30T16:52:00+07:00
https://baomoi.com/nam-thanh-nien-sat-hai-nu-nhan-vien-massage-tai-chung-cu-mini-khoc-nuc-no-tai-toa/c/43871134.epi,Nam thanh niên sát hại nữ nhân viên massage tại chung cư mini khóc nức nở tại tòa,Báo Người Lao Động,2022-09-30T13:46:33+07:00
https://baomoi.com/tp-hcm-cam-xe-duong-le-loi-sang-cuoi-tuan/c/43872772.epi,TP.HCM cấm xe đường Lê Lợi sáng cuối tuần,Tạp chí Tri Thức Trực Tuyến,2022-09-30T16:13:05+07:00
https://baomoi.com/bo-truong-nguyen-thanh-nghi-noi-ve-quy-dinh-thoi-han-so-huu-chung-cu/c/43873471.epi,Bộ trưởng Nguyễn Thanh Nghị nói về quy định thời hạn sở hữu chung cư,Báo Pháp Luật TP.HCM,2022-09-30T16:42:45+07:00
https://baomoi.com/nguoi-phu-nu-bi-ung-thu-dai-truc-trang-vi-loai-do-uong-quen-thuoc/c/43872919.epi,Người phụ nữ bị ung thư đại trực tràng vì loại đồ uống quen thuộc,Báo Phụ Nữ Việt Nam,2022-09-30T16:00:00+07:00
https://baomoi.com/phan-dau-nang-kim-ngach-thuong-mai-hai-chieu-viet-nam-cuba-len-500-trieu-usd/c/43873483.epi,Phấn đấu nâng kim ngạch thương mại hai chiều Việt Nam - Cuba lên 500 triệu USD,Báo Điện tử Đảng cộng sản VN,2022-09-30T16:44:00+07:00
https://baomoi.com/quang-tri-se-thu-hoi-chu-truong-dau-tu-du-an-371-ti-dong/c/43873559.epi,Quảng Trị sẽ thu hồi chủ trương đầu tư dự án 371 tỉ đồng,Báo Pháp Luật TP.HCM,2022-09-30T16:54:42+07:00
https://baomoi.com/sau-bao-so-4-nuoc-bien-o-thua-thien-hue-xuat-hien-mau-bat-thuong/c/43873186.epi,"Sau bão số 4, nước biển ở Thừa Thiên-Huế xuất hiện màu bất thường",Tạp chí Người Đưa Tin,2022-09-30T16:23:00+07:00
https://baomoi.com/40-nguoi-tu-vong-bo-y-te-canh-bao-nguy-co-benh-dai-bung-phat/c/43873543.epi,"40 người tử vong, Bộ Y tế cảnh báo nguy cơ bệnh dại bùng phát",Báo Người Lao Động,2022-09-30T16:52:10+07:00
https://baomoi.com/tp-ho-chi-minh-tieu-huy-hon-1-5-tan-ma-tuy/c/43872166.epi,"TP Hồ Chí Minh: Tiêu hủy hơn 1,5 tấn ma túy",Báo Tin Tức TTXVN,2022-09-30T15:03:00+07:00
